temperature,MEA_weight_fraction,CO2_loading,MEAH^+,MEACOO^-,HCO3^-,CO2
20,0.2,0.228,0.0554,0.0164,0,0
20,0.2,0.267,0.0522,0.0191,0,0
20,0.2,0.332,0.0476,0.0236,0,0
20,0.2,0.474,0.0414,0.03,0.0038,0
20,0.2,0.542,0.0413,0.029,0.0091,0
20,0.2,0.756,0.0513,0.0166,0.0357,0
20,0.2,0.89,0.0569,0.0092,0.0524,0.0019
20,0.2,1.074,0.059,0.0056,0.0576,0.0042
20,0.3,0.075,0.1054,0.0086,0,0
20,0.3,0.15,0.0966,0.0171,0,0
20,0.3,0.235,0.0871,0.0267,0,0
20,0.3,0.309,0.078,0.0349,0,0
20,0.3,0.388,0.0678,0.043,0,0
20,0.3,0.474,0.062,0.0493,0,0
20,0.3,0.524,0.0637,0.0467,0.0106,0
20,0.3,0.609,0.0696,0.04,0.0254,0
20,0.3,0.704,0.0747,0.0324,0.041,0
20,0.3,0.832,0.0835,0.0198,0.0625,0
20,0.3,0.929,0.0883,0.0118,0.0785,0.0046
20,0.3,0.974,0.0885,0.0114,0.0876,0.0066
40,0.195,0.099,0.0594,0.0065,0,0
40,0.195,0.197,0.0537,0.0132,0,0
40,0.195,0.282,0.0473,0.0186,0,0
40,0.195,0.437,0.0412,0.0268,0.0029,0
40,0.195,0.509,0.0386,0.0286,0.0056,0
40,0.195,0.543,0.0404,0.0296,0.0084,0
40,0.195,0.553,0.0406,0.0263,0.0107,0
40,0.195,0.606,0.0405,0.0213,0.0162,0
40,0.195,0.695,0.0523,0.0146,0.0299,0
40,0.195,0.833,0.054,0.0095,0.0239,0
40,0.3,0.125,0.1009,0.0144,0,0
40,0.3,0.205,0.0934,0.0241,0,0
40,0.3,0.236,0.0876,0.0271,0,0
40,0.3,0.28,0.084,0.0327,0,0
40,0.3,0.343,0.0758,0.0396,0,0
40,0.3,0.354,0.0749,0.041,0,0
40,0.3,0.46,0.065,0.0492,0,0
40,0.3,0.466,0.0663,0.0502,0.004,0
40,0.3,0.487,0.0646,0.0511,0.0052,0
40,0.3,0.508,0.0647,0.0483,0.0091,0
40,0.3,0.663,0.0759,0.0347,0.0428,0
40,0.3,0.683,0.0739,0.0323,0.0382,0
40,0.3,0.762,0.0807,0.0188,0.0596,0
60,0.203,0.134,0.0601,0.0093,0,0
60,0.203,0.249,0.0547,0.0181,0,0
60,0.203,0.317,0.0497,0.0231,0,0
60,0.203,0.369,0.0463,0.027,0,0
60,0.203,0.437,0.0443,0.0263,0.0045,0
60,0.3,0.131,0.0974,0.0147,0,0
60,0.3,0.203,0.0905,0.0231,0,0
60,0.3,0.277,0.0791,0.0302,0,0
60,0.3,0.415,0.0687,0.0417,0.0042,0
60,0.3,0.489,0.068,0.0424,0.0072,0
60,0.3,0.559,0.0652,0.0455,0.0163,0
60,0.3,0.613,0.0678,0.0375,0.0304,0
60,0.3,0.766,0.0702,0.0357,0.0229,0
80,0.195,0.054,0.0635,0.0033,0,0
80,0.195,0.11,0.0605,0.0066,0,0
80,0.195,0.262,0.049,0.0174,0,0
80,0.195,0.324,0.0455,0.0219,0.0092,0
80,0.195,0.472,0.0381,0.0299,0.0156,0
80,0.195,0.576,0.0612,0,0,0
80,0.31,0.064,0.1084,0.0068,0,0
80,0.31,0.141,0.1005,0.014,0,0
80,0.31,0.245,0.0906,0.0224,0,0
80,0.31,0.336,0.0858,0.0337,0,0
80,0.31,0.398,0.0872,0.0336,0.0046,0
80,0.31,0.51,0.0721,0.0503,0.0166,0
