MEA_weight_fraction,temperature,experiment,fit,CO2_loading,dH_abs
0.3,40,1,1,0.041,83.575
0.3,40,1,1,0.084,82.067
0.3,40,1,1,0.124,85.574
0.3,40,1,1,0.167,85.138
0.3,40,1,1,0.211,85.312
0.3,40,1,1,0.256,84.531
0.3,40,1,1,0.310,84.377
0.3,40,1,1,0.352,84.052
0.3,40,1,1,0.397,84.494
0.3,40,1,1,0.451,84.255
0.3,40,1,1,0.494,84.074
0.3,40,1,1,0.535,87.098
0.3,40,1,1,0.576,52.746
0.3,40,1,1,0.608,46.210
0.3,40,1,1,0.640,40.548
0.3,40,1,1,0.662,37.492
0.3,40,1,1,0.684,36.390
0.3,40,1,1,0.704,33.897
0.3,40,1,1,0.715,36.160
0.3,40,2,1,0.037,84.079
0.3,40,2,1,0.081,82.123
0.3,40,2,1,0.124,81.983
0.3,40,2,1,0.165,81.547
0.3,40,2,1,0.210,81.533
0.3,40,2,1,0.250,83.199
0.3,40,2,1,0.290,82.781
0.3,40,2,1,0.337,78.333
0.3,40,2,1,0.375,86.437
0.3,40,2,1,0.417,84.836
0.3,40,2,1,0.463,80.703
0.3,40,2,1,0.507,73.567
0.3,40,2,1,0.543,59.395
0.3,40,2,1,0.576,56.821
0.3,40,2,1,0.604,51.026
0.3,40,2,1,0.634,40.417
0.3,40,2,1,0.651,35.974
0.3,40,2,1,0.678,32.710
0.3,80,1,1,0.047,93.363
0.3,80,1,1,0.090,90.904
0.3,80,1,1,0.159,93.740
0.3,80,1,1,0.203,93.072
0.3,80,1,1,0.242,90.456
0.3,80,1,1,0.282,92.071
0.3,80,1,1,0.333,90.846
0.3,80,1,1,0.378,92.954
0.3,80,1,1,0.423,94.039
0.3,80,1,1,0.464,93.691
0.3,80,1,1,0.504,96.132
0.3,80,1,1,0.545,85.178
0.3,80,1,1,0.583,67.069
0.3,80,1,1,0.621,54.808
0.3,80,1,1,0.648,36.984
0.3,80,2,1,0.043,95.258
0.3,80,2,1,0.092,91.558
0.3,80,2,1,0.137,87.308
0.3,80,2,1,0.181,95.685
0.3,80,2,1,0.225,90.069
0.3,80,2,1,0.276,95.604
0.3,80,2,1,0.326,96.949
0.3,80,2,1,0.375,94.175
0.3,80,2,1,0.424,94.533
0.3,80,2,1,0.472,98.246
0.3,80,2,1,0.518,86.770
0.3,80,2,1,0.570,68.329
0.3,80,2,1,0.594,55.471
0.3,80,2,1,0.605,42.259
0.3,120,1,0,0.051,158.737
0.3,120,1,0,0.105,110.897
0.3,120,1,0,0.152,114.335
0.3,120,1,0,0.228,113.214
0.3,120,1,0,0.271,112.343
0.3,120,1,0,0.339,106.998
0.3,120,1,0,0.390,105.631
0.3,120,1,0,0.439,105.515
0.3,120,1,0,0.489,80.834
0.3,120,1,0,0.514,39.388
0.3,120,2,0,0.036,156.314
0.3,120,2,0,0.078,112.000
0.3,120,2,0,0.121,97.529
0.3,120,2,0,0.163,113.256
0.3,120,2,0,0.211,118.841
0.3,120,2,0,0.261,102.400
0.3,120,2,0,0.310,105.125
0.3,120,2,0,0.365,103.330
0.3,120,2,0,0.410,108.042
0.3,120,2,0,0.445,9.562
